"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2016","22.0452","21.7000","22.0550","21.6395","","0.75%"
"06/29/2016","21.8806","21.7620","22.0550","21.6686","","0.00%"
"06/28/2016","21.8802","21.6800","21.9740","21.6683","","0.66%"
"06/27/2016","21.7377","21.7620","22.0000","21.5258","","-1.19%"
"06/24/2016","22.0002","21.5700","22.0220","21.5451","","1.06%"
"06/23/2016","21.7700","21.4500","21.8410","21.4500","","0.05%"
"06/22/2016","21.7600","21.7100","22.0000","21.5384","","-0.08%"
"06/21/2016","21.7764","21.5900","21.9881","21.5089","","0.34%"
"06/20/2016","21.7016","21.6410","22.0400","21.4897","","-0.35%"
"06/17/2016","21.7777","21.6410","22.0493","21.5089","","-0.33%"
"06/16/2016","21.8503","21.6410","21.9920","21.4100","","0.50%"
"06/15/2016","21.7415","21.6100","22.0130","21.4954","","0.10%"
"06/14/2016","21.7208","21.5400","22.0000","21.5089","","-0.42%"
"06/13/2016","21.8115","21.6410","21.8410","21.5300","","0.38%"
"06/10/2016","21.7300","21.5300","21.8410","21.5300","","0.00%"
"06/09/2016","21.7300","21.5300","21.8410","21.5085","","0.04%"
"06/08/2016","21.7204","21.5200","21.8900","21.4985","","-1.27%"
"06/07/2016","22.0000","21.6410","22.0000","21.4985","","1.29%"
"06/06/2016","21.7200","21.6410","22.0100","21.5100","","-0.51%"
"06/03/2016","21.8309","21.5300","22.1357","21.5100","","-0.09%"
"06/02/2016","21.8503","21.6410","22.0319","21.4800","","0.65%"
"06/01/2016","21.7100","21.6330","22.0100","21.4885","","0.18%"
"05/31/2016","21.6712","21.3580","21.8500","21.3580","","-0.13%"
"05/30/2016","21.7000","21.6190","21.7690","21.3580","","-1.41%"
"05/27/2016","22.0100","21.6120","22.0902","21.4900","","1.48%"
"05/26/2016","21.6900","21.4900","22.0400","21.4600","","-1.10%"
"05/25/2016","21.9305","21.5920","21.9500","21.3700","","0.64%"
"05/24/2016","21.7903","21.4800","21.8100","21.4585","","0.55%"
"05/23/2016","21.6704","21.5710","21.9700","21.4485","","-0.04%"
"05/20/2016","21.6800","21.4700","21.9000","21.4100","","0.22%"
"05/19/2016","21.6320","21.4100","21.7710","21.4100","","-0.04%"
"05/18/2016","21.6404","21.4700","21.7710","21.4000","","0.00%"
"05/17/2016","21.6408","21.4700","21.7570","21.4100","","-0.13%"
"05/16/2016","21.6700","21.5370","21.7600","21.4289","","0.05%"
"05/13/2016","21.6600","21.4200","21.7700","21.4000","","0.05%"
"05/12/2016","21.6500","21.4380","21.8000","21.3455","","0.00%"
"05/11/2016","21.6504","21.5000","21.7500","21.3455","","0.06%"
"05/10/2016","21.6369","21.4380","21.7300","21.3785","","-0.04%"
"05/09/2016","21.6465","21.4380","21.7045","21.3455","","0.00%"
"05/06/2016","21.6465","21.4380","21.7330","21.3455","","0.12%"
"05/05/2016","21.6212","21.4380","21.6655","21.4000","","-0.20%"
"05/04/2016","21.6655","21.4000","21.7039","21.4000","","0.00%"
"05/03/2016","21.6655","21.4380","21.6869","21.3242","","0.02%"
"05/02/2016","21.6616","21.4380","21.6830","21.3926","","0.05%"
"04/29/2016","21.6503","21.4380","21.6998","21.3455","","0.06%"
"04/28/2016","21.6378","21.4380","21.6600","21.3455","","-0.04%"
"04/27/2016","21.6454","21.4380","21.7048","21.3786","","-0.03%"
"04/26/2016","21.6525","21.4380","21.7141","21.3455","","-0.01%"
"04/25/2016","21.6550","21.4380","21.6550","21.3455","","0.04%"
"04/22/2016","21.6474","21.4380","21.6928","21.3000","","-0.01%"
"04/21/2016","21.6504","21.4380","21.6998","21.3886","","0.00%"
"04/20/2016","21.6512","21.4380","21.6891","21.3000","","0.01%"
"04/19/2016","21.6500","21.4380","21.6880","21.3455","","0.16%"
"04/18/2016","21.6162","21.4260","21.6616","21.3330","","0.12%"
"04/15/2016","21.5905","21.4260","21.7377","21.2787","","-0.16%"
"04/14/2016","21.6258","21.3950","21.6354","21.2500","","0.16%"
"04/13/2016","21.5904","21.3950","21.6100","21.2000","","0.23%"
"04/12/2016","21.5405","21.3950","21.6250","21.2500","","-0.41%"
"04/11/2016","21.6300","21.3950","21.7150","21.2032","","0.35%"
"04/08/2016","21.5550","21.3950","21.6400","21.3000","","-0.23%"
"04/07/2016","21.6050","21.3580","21.6100","21.2650","","0.02%"
"04/06/2016","21.6000","21.3580","21.6150","21.2650","","-0.02%"
"04/05/2016","21.6050","21.3580","21.6100","21.2650","","0.02%"
"04/04/2016","21.6000","21.3580","21.6050","21.3000","","0.02%"
"04/01/2016","21.5964","21.3580","21.6159","21.2650","","0.05%"
"03/31/2016","21.5854","21.3600","21.6118","21.2650","","-0.03%"
"03/30/2016","21.5915","21.3470","21.6159","21.2535","","0.32%"
"03/29/2016","21.5226","21.3470","21.5700","21.2287","","-0.21%"
"03/28/2016","21.5687","21.3410","21.6371","21.2050","","0.06%"
"03/25/2016","21.5550","21.3300","21.5600","21.2365","","-0.10%"
"03/24/2016","21.5759","21.3300","21.5855","21.2153","","0.15%"
"03/23/2016","21.5427","21.2380","21.6439","21.1440","","0.43%"
"03/22/2016","21.4500","21.2380","21.5700","21.1400","","0.06%"
"03/21/2016","21.4365","21.2380","21.4800","21.1228","","-0.14%"
"03/18/2016","21.4666","21.2380","21.5558","21.0789","","0.12%"
"03/17/2016","21.4405","21.2380","21.4550","21.0789","","0.03%"
"03/16/2016","21.4350","21.2380","21.4380","21.1100","","0.16%"
"03/15/2016","21.4000","21.2380","21.5380","21.1000","","-0.33%"
